user-input,desired output
Give me a Processing Element for something that can extract morphology and radius fields after the skewed VO query.,PE_MATCH: internal_extinction_skew_workflow.FilterColumns
Need a PE which can hold unmatched values and output odd/even tuples.,PE_MATCH: even_odd_workflow.PairProducer
Need a workflow which can simulate traffic lights in a city network.,NO_MATCH_WORKFLOW
Need a PE which can generate random integers for a toy workflow.,MULTI_PE_MATCH: skew_workflow.NumberProducer | even_odd_workflow.NumberProducer
Show me a processing element that can collect COVID dates and case counts and draw the line plot.,PE_MATCH: covid_workflow.DataVisualizer
Which PE should I use to apply the demean detrend step?,PE_MATCH: seismic_preparation_workflow.Demean
I want a PE that can produce ObsPy stream data for station/network rows.,PE_MATCH: seismic_preparation_workflow.StreamRead
Is there a workflow in you that can convert PDF documents into clean text with OCR?,NO_MATCH_WORKFLOW
Could you find the PE that can load sensor_data_1000.json and emit each reading?,PE_MATCH: sensor_workflow.ReadSensorDataPE
"I need a workflow to read RA/Dec points, call the Virtual Observatory, and compute galaxy extinction.",WORKFLOW_MATCH: internal_extinction_workflow
Need a workflow which can produce numbers and match the odd ones with the even ones.,WORKFLOW_MATCH: even_odd_workflow
"Find me a Processing Element for calculate internal extinction in the skewed galaxy workflow, please.",PE_MATCH: internal_extinction_skew_workflow.InternalExtinction
Could you find the PE that can read station names and load the matching seismic stream files?,PE_MATCH: seismic_preparation_workflow.StreamRead
Do we have a PE that will check whether each random number is prime?,PE_MATCH: skew_workflow.IsPrime
"Find me a Processing Element for train a scikit-learn classifier, please.",NO_MATCH_PE
Can you point me to a processing element for parse a COVID record and keep the date plus daily confirmed cases?,PE_MATCH: covid_workflow.DataProcessor
I want the PE that can demean waveform data.,PE_MATCH: seismic_preparation_workflow.Demean
Need a workflow which can use galaxy coordinate input to get VO data and compute internal extinction values.,WORKFLOW_MATCH: internal_extinction_workflow
Give me the workflow for something that can run SQL joins across two relational databases.,NO_MATCH_WORKFLOW
I am looking for a PE to remove the seismometer response.,PE_MATCH: seismic_preparation_workflow.RemoveResponse
"Find me a Processing Element for read galaxy RA and DEC coordinates from a text file, please.",PE_MATCH: internal_extinction_workflow.ReadRaDec
I want a workflow that can process temperature sensor readings from a JSON file and find anomalies.,WORKFLOW_MATCH: sensor_workflow
Do we have a PE that will run the seismic filter step?,PE_MATCH: seismic_preparation_workflow.Filter
I want the PE that can load RA/Dec input for the skewed galaxy workflow.,PE_MATCH: internal_extinction_skew_workflow.ReadRaDec
Give me a Processing Element for something that can aggregate sensor temperatures and print averages every five readings.,PE_MATCH: sensor_workflow.AggregateDataPE
Could you find the PE that can turn filtered catalogue values into extinction estimates?,PE_MATCH: internal_extinction_workflow.InternalExtinction
Give me the PE for remove the mean from waveform traces.,MULTI_PE_MATCH: seismic_preparation_workflow.Demean | seismic_preparation_dict_workflow.Demean
Could you find the PE that can parse a COVID record and keep the date plus daily confirmed cases?,PE_MATCH: covid_workflow.DataProcessor
I would like the PE that produce dictionary representations of ObsPy streams.,PE_MATCH: seismic_preparation_dict_workflow.StreamRead
Do we have a workflow that will run a small random-number stream example?,MULTI_WORKFLOW_MATCH: skew_workflow | even_odd_workflow
I am looking for a workflow to process sensor or signal data through several preparation steps.,MULTI_WORKFLOW_MATCH: sensor_workflow | seismic_preparation_workflow | seismic_preparation_dict_workflow
Could you find the PE that can calculate FFT for waveform data?,MULTI_PE_MATCH: seismic_preparation_workflow.CalculateFft | seismic_preparation_dict_workflow.CalculateFft
"Which workflow should I use to take timestamped temperature data, normalise it, flag outliers, and summarise averages?",WORKFLOW_MATCH: sensor_workflow
Give me the workflow for something that can use galaxy coordinate input to get VO data and compute internal extinction values.,WORKFLOW_MATCH: internal_extinction_workflow
Show me a processing element that can whiten waveform traces before FFT.,PE_MATCH: seismic_preparation_workflow.Whiten
Give me the PE for compute the Fourier transform for station streams.,PE_MATCH: seismic_preparation_workflow.CalculateFft
"Find me a Processing Element for apply the internal extinction formula, please.",MULTI_PE_MATCH: internal_extinction_workflow.InternalExtinction | internal_extinction_skew_workflow.InternalExtinction
I need the PE that produces random numbers but with that annoying skewed sleep.,PE_MATCH: skew_workflow.NumberProducer
I am looking for a workflow to show a two-branch stream where random values are classified as odd or even.,WORKFLOW_MATCH: even_odd_workflow
I want the wflow that can run BLAST over DNA sequences.,NO_MATCH_WORKFLOW
I want the PE that can whiten waveform traces before FFT.,PE_MATCH: seismic_preparation_workflow.Whiten
Could you find a workflow that use the skew variant of the galaxy extinction pipeline?,WORKFLOW_MATCH: internal_extinction_skew_workflow
Give me the PE for detect abnormal sensor temperature readings.,PE_MATCH: sensor_workflow.AnomalyDetectionPE
I need a Processing Element to download the cases_time_series data for COVID.,PE_MATCH: covid_workflow.DataProducer
I am looking for a PE to turn dict-based waveform data into list-form FFT output.,PE_MATCH: seismic_preparation_dict_workflow.CalculateFft
I would like the PE that save dict-based seismic preparation output to files.,PE_MATCH: seismic_preparation_dict_workflow.StreamToFile
Show me a processing element that can keep only prime values from a number stream.,PE_MATCH: skew_workflow.IsPrime
"I would like the PE that normalise seismic traces using onebit, mean, gain or envelope normalization.",PE_MATCH: seismic_preparation_workflow.CalculateNorm
I want the PE that can pair one odd number with one even number.,PE_MATCH: even_odd_workflow.PairProducer
I want the PE that can produce COVID records from the remote JSON API.,PE_MATCH: covid_workflow.DataProducer
Is there a Processing Element in the registry to train word embeddings?,NO_MATCH_PE
"Could you find a workflow that preprocess seismic waveform data through decimation, filtering, normalisation and FFT?",MULTI_WORKFLOW_MATCH: seismic_preparation_workflow | seismic_preparation_dict_workflow
Can you give me a workflow for show a two-branch stream where random values are classified as odd or even?,WORKFLOW_MATCH: even_odd_workflow
"Find me a Processing Element for turn Celsius-ish temperatures into normalized values, please.",PE_MATCH: sensor_workflow.NormalizeDataPE
Do we have a workflow that will calculate galaxy internal extinction using the skewed version of the VOTable query workflow?,WORKFLOW_MATCH: internal_extinction_skew_workflow
Is there a Processing Element in the registry to combine the two branches into odd-even pairs?,PE_MATCH: even_odd_workflow.PairProducer
Could you find the PE that can download the cases_time_series data for COVID?,PE_MATCH: covid_workflow.DataProducer
Could you find the PE that can apply simple detrending in the dict seismic variant?,PE_MATCH: seismic_preparation_dict_workflow.Detrend
Give me the workflow for something that can use the skew variant of the galaxy extinction pipeline.,WORKFLOW_MATCH: internal_extinction_skew_workflow
Can you point me to a processing element for apply the internal_extinction formula?,PE_MATCH: internal_extinction_workflow.InternalExtinction
Give me the workflow for something that can do climate model regridding on NetCDF files.,NO_MATCH_WORKFLOW
Give me the PE that does the FFT at the end of the seismic prep workflow.,MULTI_PE_MATCH: seismic_preparation_workflow.CalculateFft | seismic_preparation_dict_workflow.CalculateFft
I want the wflow that can do the galaxy VOTable extinction calculation.,MULTI_WORKFLOW_MATCH: internal_extinction_workflow | internal_extinction_skew_workflow
I am looking for a PE to merge two Excel sheets.,NO_MATCH_PE
Give me the workflow for something that can run the internal extinction galaxy workflow but with a skewed workload in the VO query step.,WORKFLOW_MATCH: internal_extinction_skew_workflow
I want a PE that can filter numbers by checking the remainder after division by 2.,PE_MATCH: even_odd_workflow.Divideby2
Show me a processing element that can write results into PostgreSQL.,NO_MATCH_PE
Could you find the PE that can downsample waveform data?,MULTI_PE_MATCH: seismic_preparation_workflow.Decimate | seismic_preparation_dict_workflow.Decimate
Which PE should I use to log anomaly messages with timestamp and temperature?,PE_MATCH: sensor_workflow.AlertingPE
Show me a processing element that can emit random integer values without the skewed delay.,PE_MATCH: even_odd_workflow.NumberProducer
Could you find the PE that can emit random integers for the skewed prime workflow?,PE_MATCH: skew_workflow.NumberProducer
Could you find a workflow that train a neural network to classify galaxy images?,NO_MATCH_WORKFLOW
Need a PE which can correct waveforms using inventory XML.,MULTI_PE_MATCH: seismic_preparation_workflow.RemoveResponse | seismic_preparation_dict_workflow.RemoveResponse
Which workflow should I use to send Slack messages when a job finishes?,NO_MATCH_WORKFLOW
Is there a workflow in you that can process astronomical galaxy coordinates and calculate internal extinction?,WORKFLOW_MATCH: internal_extinction_workflow
Give me the workflow for something that can process timestamped data and turn it into useful output.,MULTI_WORKFLOW_MATCH: sensor_workflow | covid_workflow
I want a PE that can downsample waveform traces.,PE_MATCH: seismic_preparation_workflow.Decimate
Do we have a workflow that will crop microscope images and segment cell nuclei?,NO_MATCH_WORKFLOW
Show me the workflow that process timestamped data and turn it into useful output.,MULTI_WORKFLOW_MATCH: sensor_workflow | covid_workflow
Give me a Processing Element for something that can apply the detrending step.,MULTI_PE_MATCH: seismic_preparation_workflow.Detrend | seismic_preparation_dict_workflow.Detrend
Need a PE which can produce dictionary representations of ObsPy streams.,PE_MATCH: seismic_preparation_dict_workflow.StreamRead
I need a Processing Element to run a filtering step over incoming data.,MULTI_PE_MATCH: internal_extinction_workflow.FilterColumns | internal_extinction_skew_workflow.FilterColumns | seismic_preparation_workflow.Filter | seismic_preparation_dict_workflow.Filter
I want a PE that can load waveform files from station names.,MULTI_PE_MATCH: seismic_preparation_workflow.StreamRead | seismic_preparation_dict_workflow.StreamRead
Do we have a workflow that will test a workflow with skewed or uneven work across the pipeline?,MULTI_WORKFLOW_MATCH: skew_workflow | internal_extinction_skew_workflow
I am looking for a PE to extract dates and daily confirmed case counts from COVID records.,PE_MATCH: covid_workflow.DataProcessor
I am looking for a PE to scale the sensor temperature readings.,PE_MATCH: sensor_workflow.NormalizeDataPE
"Find me a Processing Element for compare readings to the running mean and mark outliers, please.",PE_MATCH: sensor_workflow.AnomalyDetectionPE
"I am looking for a workflow to generate random numbers, split them into odd and even, and pair one odd with one even.",WORKFLOW_MATCH: even_odd_workflow
Show me a processing element that can detrend seismic data.,MULTI_PE_MATCH: seismic_preparation_workflow.Detrend | seismic_preparation_dict_workflow.Detrend
Give me the PE for generate random integers for a toy workflow.,MULTI_PE_MATCH: skew_workflow.NumberProducer | even_odd_workflow.NumberProducer
Need a PE which can read galaxy RA and DEC coordinates from a text file.,PE_MATCH: internal_extinction_workflow.ReadRaDec
I want the wflow that can do the seismic preparation pipeline where ObsPy streams are converted to dictionaries between PEs.,WORKFLOW_MATCH: seismic_preparation_dict_workflow
Do we have a PE that will add a normalized_temperature field to sensor data?,PE_MATCH: sensor_workflow.NormalizeDataPE
Could you find the PE that can filter traces between frequency limits?,PE_MATCH: seismic_preparation_workflow.Filter
Can you point me to a processing element for read timestamped temperature sensor records from a JSON file?,PE_MATCH: sensor_workflow.ReadSensorDataPE
Give me a Processing Element for something that can reduce the sampling rate of an ObsPy stream.,PE_MATCH: seismic_preparation_workflow.Decimate
Could you find the PE that can ingest the sensor JSON file?,PE_MATCH: sensor_workflow.ReadSensorDataPE
I want the PE that can produce sensor records with timestamp and temperature.,PE_MATCH: sensor_workflow.ReadSensorDataPE
Show me a processing element that can generate random integers for a toy workflow.,MULTI_PE_MATCH: skew_workflow.NumberProducer | even_odd_workflow.NumberProducer
Is there a workflow in you that can process sensor or signal data through several preparation steps?,MULTI_WORKFLOW_MATCH: sensor_workflow | seismic_preparation_workflow | seismic_preparation_dict_workflow
I want a PE that can read pandemic case data from a URL.,PE_MATCH: covid_workflow.DataProducer
I want the PE that can save the prepared seismic stream to output files.,PE_MATCH: seismic_preparation_workflow.StreamToFile
Give me a Processing Element for something that can produce random numbers for the odd-even example.,PE_MATCH: even_odd_workflow.NumberProducer
Do we have a PE that will output prime-number messages?,PE_MATCH: skew_workflow.PrintPrime
I need a Processing Element to convert dict to stream and subtract the mean.,PE_MATCH: seismic_preparation_dict_workflow.Demean
"Find me a Processing Element for write preprocessed waveform data to the OUTPUT directory, please.",PE_MATCH: seismic_preparation_workflow.StreamToFile
Do we have a PE that will run OCR on a scanned page?,NO_MATCH_PE
I am looking for a workflow to compress a folder of videos and upload them to S3.,NO_MATCH_WORKFLOW
I need a workflow to generate random numbers and then do simple conditional processing.,MULTI_WORKFLOW_MATCH: skew_workflow | even_odd_workflow
I am looking for a PE to turn filtered catalogue values into extinction estimates.,PE_MATCH: internal_extinction_workflow.InternalExtinction
Could you find the PE that can produce coordinate records for the skew version?,PE_MATCH: internal_extinction_skew_workflow.ReadRaDec
Can you give me a workflow for run the dict-based seismic preprocessing workflow with stream-to-dict conversions?,WORKFLOW_MATCH: seismic_preparation_dict_workflow
I am looking for a PE to produce COVID records from the remote JSON API.,PE_MATCH: covid_workflow.DataProducer
"I want a PE that can normalise seismic traces using onebit, mean, gain or envelope normalization.",PE_MATCH: seismic_preparation_workflow.CalculateNorm
Which PE should I use to convert one COVID API row into data for plotting?,PE_MATCH: covid_workflow.DataProcessor
Do we have a PE that will flatten the spectrum before FFT?,MULTI_PE_MATCH: seismic_preparation_workflow.Whiten | seismic_preparation_dict_workflow.Whiten
"Find me a Processing Element for remove instrument response from seismic data, please.",MULTI_PE_MATCH: seismic_preparation_workflow.RemoveResponse | seismic_preparation_dict_workflow.RemoveResponse
I am looking for a PE to apply the demean detrend step.,PE_MATCH: seismic_preparation_workflow.Demean
I would like a workflow that calculate internal extinction for galaxies from coordinates.,MULTI_WORKFLOW_MATCH: internal_extinction_workflow | internal_extinction_skew_workflow
I am looking for a PE to filter data as part of a pipeline.,MULTI_PE_MATCH: internal_extinction_workflow.FilterColumns | internal_extinction_skew_workflow.FilterColumns | seismic_preparation_workflow.Filter | seismic_preparation_dict_workflow.Filter
Do we have a workflow that will take station waveform data and produce prepared seismic outputs?,MULTI_WORKFLOW_MATCH: seismic_preparation_workflow | seismic_preparation_dict_workflow
"Find me a Processing Element for correct waveforms using inventory XML, please.",MULTI_PE_MATCH: seismic_preparation_workflow.RemoveResponse | seismic_preparation_dict_workflow.RemoveResponse
"I would like a workflow that pull COVID-19 India data, process daily cases, and produce a graph.",WORKFLOW_MATCH: covid_workflow
I need a Processing Element to read galaxy coordinates for the skewed internal extinction workflow.,PE_MATCH: internal_extinction_skew_workflow.ReadRaDec
I am looking for a PE to run configured normalization in the serialisable seismic workflow.,PE_MATCH: seismic_preparation_dict_workflow.CalculateNorm
I need a Processing Element to make the HTTP request for astronomical catalogue data.,PE_MATCH: internal_extinction_workflow.GetVOTable
I need a Processing Element to generate random integers with a skewed sleep delay.,PE_MATCH: skew_workflow.NumberProducer
Show me the workflow that test a skewed astronomical workflow that reads RA/Dec and computes internal extinction.,WORKFLOW_MATCH: internal_extinction_skew_workflow
Can you point me to a processing element for scale or normalise incoming measurement data?,MULTI_PE_MATCH: sensor_workflow.NormalizeDataPE | seismic_preparation_workflow.CalculateNorm | seismic_preparation_dict_workflow.CalculateNorm
"Show me the workflow that take timestamped temperature data, normalise it, flag outliers, and summarise averages.",WORKFLOW_MATCH: sensor_workflow
Show me a processing element that can turn Celsius-ish temperatures into normalized values.,PE_MATCH: sensor_workflow.NormalizeDataPE
Give me a Processing Element for something that can extract galaxy morphology and logr25 values from the VO table.,PE_MATCH: internal_extinction_workflow.FilterColumns
I want a PE that can compute the Fourier transform for station streams.,PE_MATCH: seismic_preparation_workflow.CalculateFft
"I am looking for a workflow to produce random integers, wait for a short skewed delay, test for primes, and print them.",WORKFLOW_MATCH: skew_workflow
Need a workflow which can download COVID numbers for India and save a chart as covid_cases.png.,WORKFLOW_MATCH: covid_workflow
"I am looking for a workflow to take ObsPy stream data through decimation, detrending, filtering, normalization, whitening and FFT.",WORKFLOW_MATCH: seismic_preparation_workflow
Could you find a workflow that read time-series data and produce some analysis from it?,MULTI_WORKFLOW_MATCH: sensor_workflow | covid_workflow
Can you point me to a processing element for normalise seismic stream data in the dictionary variant?,PE_MATCH: seismic_preparation_dict_workflow.CalculateNorm
Which workflow should I use to run a chatbot over legal contracts?,NO_MATCH_WORKFLOW
Is there a Processing Element in the registry to remove instrument response from seismic data?,MULTI_PE_MATCH: seismic_preparation_workflow.RemoveResponse | seismic_preparation_dict_workflow.RemoveResponse
Show me the workflow that read seismic stations and create preprocessed waveform outputs.,WORKFLOW_MATCH: seismic_preparation_workflow
Need a PE which can convert list FFT data back and write the output.,PE_MATCH: seismic_preparation_dict_workflow.StreamToFile
"Do we have a workflow that will read RA/Dec points, call the Virtual Observatory, and compute galaxy extinction?",WORKFLOW_MATCH: internal_extinction_workflow
I am looking for a PE to do the final FFT step in the seismic pipeline.,PE_MATCH: seismic_preparation_workflow.CalculateFft
Give me the PE for demean dictionary-serialised seismic stream data.,PE_MATCH: seismic_preparation_dict_workflow.Demean
"Give me the PE for call Vizier with RA, DEC and search radius.",PE_MATCH: internal_extinction_workflow.GetVOTable
Can you point me to a processing element for consume temperature readings and report average values?,PE_MATCH: sensor_workflow.AggregateDataPE
Give me the PE for apply the internal extinction formula.,MULTI_PE_MATCH: internal_extinction_workflow.InternalExtinction | internal_extinction_skew_workflow.InternalExtinction
Give me the workflow for something that can read seismic stations and create preprocessed waveform outputs.,WORKFLOW_MATCH: seismic_preparation_workflow
I need a Processing Element to load coordinate rows for galaxies.,PE_MATCH: internal_extinction_workflow.ReadRaDec
I am looking for a PE to detrend seismic data.,MULTI_PE_MATCH: seismic_preparation_workflow.Detrend | seismic_preparation_dict_workflow.Detrend
I want a workflow that can calculate molecular docking scores.,NO_MATCH_WORKFLOW
"Find me a Processing Element for convert one COVID API row into data for plotting, please.",PE_MATCH: covid_workflow.DataProcessor
Give me a Processing Element for something that can emit a stream of random integer values.,MULTI_PE_MATCH: skew_workflow.NumberProducer | even_odd_workflow.NumberProducer
I want the wflow that can forecast tomorrow's weather using a live API.,NO_MATCH_WORKFLOW
Do we have a PE that will summarise sensor data in small batches?,PE_MATCH: sensor_workflow.AggregateDataPE
Do we have a PE that will remove instrument response from seismic traces using inventory XML?,PE_MATCH: seismic_preparation_workflow.RemoveResponse
"Find me a workflow for route numbers to even and odd branches and pair the results, please.",WORKFLOW_MATCH: even_odd_workflow
"Is there a workflow in you that can take timestamped temperature data, normalise it, flag outliers, and summarise averages?",WORKFLOW_MATCH: sensor_workflow
"Find me a Processing Element for send an email alert through Gmail, please.",NO_MATCH_PE
Is there a Processing Element in the registry to compare readings to the running mean and mark outliers?,PE_MATCH: sensor_workflow.AnomalyDetectionPE
Could you find the PE that can collect odd and even lists and emit pairs?,PE_MATCH: even_odd_workflow.PairProducer
Which PE should I use to load sensor_data_1000.json and emit each reading?,PE_MATCH: sensor_workflow.ReadSensorDataPE
Which PE should I use to classify numbers using modulo two?,PE_MATCH: even_odd_workflow.Divideby2
Could you find the PE that can find INPUT stream mseed files for each seismic station?,PE_MATCH: seismic_preparation_workflow.StreamRead
Show me a processing element that can spectrally whiten seismic data.,MULTI_PE_MATCH: seismic_preparation_workflow.Whiten | seismic_preparation_dict_workflow.Whiten
Can you give me a workflow for run the seismic preparation pipeline?,MULTI_WORKFLOW_MATCH: seismic_preparation_workflow | seismic_preparation_dict_workflow
Give me a Processing Element for something that can extract keywords from a paper abstract.,NO_MATCH_PE
I want a PE that can load coordinate rows for galaxies.,PE_MATCH: internal_extinction_workflow.ReadRaDec
Which workflow should I use to analyse a simple time series dataset?,MULTI_WORKFLOW_MATCH: sensor_workflow | covid_workflow
Could you find a workflow that analyse social-network centrality?,NO_MATCH_WORKFLOW
Which PE should I use to run OCR on a scanned page?,NO_MATCH_PE
I want a workflow that can run something useful for skewed workload experiments.,MULTI_WORKFLOW_MATCH: skew_workflow | internal_extinction_skew_workflow
Give me a Processing Element for something that can demean seismic data.,MULTI_PE_MATCH: seismic_preparation_workflow.Demean | seismic_preparation_dict_workflow.Demean
I would like the PE that reduce sample rate in the dict-based seismic workflow.,PE_MATCH: seismic_preparation_dict_workflow.Decimate
Is there a Processing Element in the registry to turn seismic traces into frequency-domain data?,MULTI_PE_MATCH: seismic_preparation_workflow.CalculateFft | seismic_preparation_dict_workflow.CalculateFft
I want a PE that can spectrally whiten seismic data in the dict workflow.,PE_MATCH: seismic_preparation_dict_workflow.Whiten
Which PE should I use to get the VOTable response for galaxy coordinates?,MULTI_PE_MATCH: internal_extinction_workflow.GetVOTable | internal_extinction_skew_workflow.GetVOTable
"Find me a Processing Element for produce random numbers, please.",MULTI_PE_MATCH: skew_workflow.NumberProducer | even_odd_workflow.NumberProducer
I need the workflow that reads RA and DEC and talks to Vizier.,MULTI_WORKFLOW_MATCH: internal_extinction_workflow | internal_extinction_skew_workflow
I want a PE that can produce random numbers slowly and unevenly.,PE_MATCH: skew_workflow.NumberProducer
Is there a Processing Element in the registry to remove the mean in the dict-based seismic pipeline?,PE_MATCH: seismic_preparation_dict_workflow.Demean
Give me the PE for log anomaly messages with timestamp and temperature.,PE_MATCH: sensor_workflow.AlertingPE
Is there a Processing Element in the registry to convert one COVID API row into data for plotting?,PE_MATCH: covid_workflow.DataProcessor
"I need a workflow to read sensor JSON data, normalise temperatures, detect anomalies, raise alerts, and aggregate readings.",WORKFLOW_MATCH: sensor_workflow
"Find me a Processing Element for report anomalous sensor readings, please.",PE_MATCH: sensor_workflow.AlertingPE
Is there a Processing Element in the registry to write preprocessed waveform data to the OUTPUT directory?,PE_MATCH: seismic_preparation_workflow.StreamToFile
Which PE should I use to filter data as part of a pipeline?,MULTI_PE_MATCH: internal_extinction_workflow.FilterColumns | internal_extinction_skew_workflow.FilterColumns | seismic_preparation_workflow.Filter | seismic_preparation_dict_workflow.Filter
I want the wflow that can use galaxy coordinate input to get VO data and compute internal extinction values.,WORKFLOW_MATCH: internal_extinction_workflow
Do we have a PE that will emit random integer values without the skewed delay?,PE_MATCH: even_odd_workflow.NumberProducer
Give me the PE for download catalogue data using RA and DEC.,MULTI_PE_MATCH: internal_extinction_workflow.GetVOTable | internal_extinction_skew_workflow.GetVOTable
Could you find the PE that can store seismic preparation results per station?,PE_MATCH: seismic_preparation_workflow.StreamToFile
"Give me the workflow for something that can preprocess seismic waveform data through decimation, filtering, normalisation and FFT.",MULTI_WORKFLOW_MATCH: seismic_preparation_workflow | seismic_preparation_dict_workflow
I want the PE that can compute average temperature for groups of readings.,PE_MATCH: sensor_workflow.AggregateDataPE
Give me the workflow for something that can prepare seismology streams before saving the final station outputs.,MULTI_WORKFLOW_MATCH: seismic_preparation_workflow | seismic_preparation_dict_workflow
Is there a Processing Element in the registry to query the Virtual Observatory for a VOTable?,MULTI_PE_MATCH: internal_extinction_workflow.GetVOTable | internal_extinction_skew_workflow.GetVOTable
"Find me a Processing Element for run a filtering step over incoming data, please.",MULTI_PE_MATCH: internal_extinction_workflow.FilterColumns | internal_extinction_skew_workflow.FilterColumns | seismic_preparation_workflow.Filter | seismic_preparation_dict_workflow.Filter
I need a Processing Element to decimate seismic data after converting the dictionary back to a stream.,PE_MATCH: seismic_preparation_dict_workflow.Decimate
Need a workflow which can process seismic waveform data through a serialisable dictionary version of the preparation pipeline.,WORKFLOW_MATCH: seismic_preparation_dict_workflow
"Find me a Processing Element for produce seismic stream records from the INPUT directory, please.",MULTI_PE_MATCH: seismic_preparation_workflow.StreamRead | seismic_preparation_dict_workflow.StreamRead
Is there a Processing Element in the registry to apply simple detrending in the dict seismic variant?,PE_MATCH: seismic_preparation_dict_workflow.Detrend
"I am looking for a workflow to read galaxy coordinates, query VOTables, filter morphology columns, and calculate internal extinction.",WORKFLOW_MATCH: internal_extinction_workflow
Give me the PE for report anomalous sensor readings.,PE_MATCH: sensor_workflow.AlertingPE
"I would like a workflow that read RA/Dec points, call the Virtual Observatory, and compute galaxy extinction.",WORKFLOW_MATCH: internal_extinction_workflow
Is there a Processing Element in the registry to downsample waveform data?,MULTI_PE_MATCH: seismic_preparation_workflow.Decimate | seismic_preparation_dict_workflow.Decimate
Is there a Processing Element in the registry to do bandpass filtering on the seismic stream?,PE_MATCH: seismic_preparation_workflow.Filter
Need a PE which can format dates into ISO strings.,NO_MATCH_PE
"I need a Processing Element to convert to stream, remove response, and serialise again.",PE_MATCH: seismic_preparation_dict_workflow.RemoveResponse
"Give me a workflow for ingest sensor readings, check abnormal temperatures, print alerts, and aggregate results.",WORKFLOW_MATCH: sensor_workflow
I want the PE that can produce ObsPy stream data for station/network rows.,PE_MATCH: seismic_preparation_workflow.StreamRead
Give me a Processing Element for something that can remove a simple trend from seismic traces.,PE_MATCH: seismic_preparation_workflow.Detrend
"Find me a Processing Element for send an SMS notification, please.",NO_MATCH_PE
Give me a workflow for test dynamic execution using random numbers and prime checking.,WORKFLOW_MATCH: skew_workflow
"Find me a Processing Element for visualise processed COVID case time series, please.",PE_MATCH: covid_workflow.DataVisualizer
Do we have a PE that will query Wikidata for entity IDs?,NO_MATCH_PE
Show me a processing element that can print an alert when a sensor anomaly is detected.,PE_MATCH: sensor_workflow.AlertingPE
I want a PE that can detrend seismic data.,MULTI_PE_MATCH: seismic_preparation_workflow.Detrend | seismic_preparation_dict_workflow.Detrend
I would like a workflow that run a prime-number example where the work arrives with skewed sleep times.,WORKFLOW_MATCH: skew_workflow
Give me the PE for apply a normalization step.,MULTI_PE_MATCH: sensor_workflow.NormalizeDataPE | seismic_preparation_workflow.CalculateNorm | seismic_preparation_dict_workflow.CalculateNorm
Is there a Processing Element in the registry to generate random integers between 1 and 1000?,PE_MATCH: even_odd_workflow.NumberProducer
I want a workflow that checks prime numbers but also pairs odd and even numbers; any toy random-number workflow is ok.,MULTI_WORKFLOW_MATCH: skew_workflow | even_odd_workflow
Give me the PE for normalise data values.,MULTI_PE_MATCH: sensor_workflow.NormalizeDataPE | seismic_preparation_workflow.CalculateNorm | seismic_preparation_dict_workflow.CalculateNorm
Which PE should I use to convert dict to stream and apply the bandpass filter?,PE_MATCH: seismic_preparation_dict_workflow.Filter
"Do we have a workflow that will generate random numbers, split them into odd and even, and pair one odd with one even?",WORKFLOW_MATCH: even_odd_workflow
Give me the PE for apply the configured normalization method to a seismic stream.,PE_MATCH: seismic_preparation_workflow.CalculateNorm
Could you find a workflow that use a toy workflow based on random integers?,MULTI_WORKFLOW_MATCH: skew_workflow | even_odd_workflow
"Find me a Processing Element for query the Virtual Observatory and return VOTable XML, please.",PE_MATCH: internal_extinction_workflow.GetVOTable
Which PE should I use to query Wikidata for entity IDs?,NO_MATCH_PE
Need a PE which can load waveform files from station names.,MULTI_PE_MATCH: seismic_preparation_workflow.StreamRead | seismic_preparation_dict_workflow.StreamRead
Is there a Processing Element in the registry to validate XML against a schema?,NO_MATCH_PE
Give me the workflow for something that can read COVID data from the web and turn it into a daily case plot.,WORKFLOW_MATCH: covid_workflow
Which workflow should I use to make a calendar invite from a text note?,NO_MATCH_WORKFLOW
I would like the PE that apply the galaxy extinction formula in the skew variant.,PE_MATCH: internal_extinction_skew_workflow.InternalExtinction
Can you give me a workflow for preprocess seismic waveform data from station inputs and save prepared SAC/numpy files?,WORKFLOW_MATCH: seismic_preparation_workflow
Is there a Processing Element in the registry to convert dict to stream and apply the bandpass filter?,PE_MATCH: seismic_preparation_dict_workflow.Filter
"Could you find a workflow that take ObsPy stream data through decimation, detrending, filtering, normalization, whitening and FFT?",WORKFLOW_MATCH: seismic_preparation_workflow
I want the PE that can correct waveform data using station inventory.,PE_MATCH: seismic_preparation_workflow.RemoveResponse
"Find me a workflow for take ObsPy stream data through decimation, detrending, filtering, normalization, whitening and FFT, please.",WORKFLOW_MATCH: seismic_preparation_workflow
"Find me a workflow for run BLAST over DNA sequences, please.",NO_MATCH_WORKFLOW
Is there a Processing Element in the registry to remove a simple trend from waveform traces?,MULTI_PE_MATCH: seismic_preparation_workflow.Detrend | seismic_preparation_dict_workflow.Detrend
Do we have a PE that will make random numbers for pairing later?,PE_MATCH: even_odd_workflow.NumberProducer
"Find me a Processing Element for normalise data values, please.",MULTI_PE_MATCH: sensor_workflow.NormalizeDataPE | seismic_preparation_workflow.CalculateNorm | seismic_preparation_dict_workflow.CalculateNorm
Need a PE which can decimate seismic traces.,MULTI_PE_MATCH: seismic_preparation_workflow.Decimate | seismic_preparation_dict_workflow.Decimate
